Genes,aTc,W
b0882_1,aTc_8,0.838226573
b0882_2,aTc_0,0.949107392
b0882_2,aTc_2,0.888634101
b0882_2,aTc_4,0.791243307
b0882_2,aTc_6,0.841411328
b0882_2,aTc_8,0.915046253
b0882_3,aTc_0,0.874720291
b0882_3,aTc_2,0.880683517
b0882_3,aTc_4,0.771579553
b0882_3,aTc_6,0.798585076
b0882_3,aTc_8,0.770466773
b0882_4,aTc_0,0.92418044
b0882_4,aTc_2,0.824790003
b0882_4,aTc_4,0.812174344
b0882_4,aTc_6,0.807336283
b0882_4,aTc_8,0.835929015
b0891_1,aTc_0,1.148986623
b0891_1,aTc_2,1.059357524
b0891_1,aTc_4,0.997407311
b0891_1,aTc_6,0.942402247
b0891_1,aTc_8,0.987186157
b0891_2,aTc_0,1.080475291
b0891_2,aTc_2,0.947463052
b0891_2,aTc_4,0.958282632
b0891_2,aTc_6,0.961022112
b0891_2,aTc_8,0.975985535
b0891_3,aTc_0,1.095665037
b0891_3,aTc_2,1.053936668
b0891_3,aTc_4,0.967136611
b0891_3,aTc_6,0.940685264
b0891_3,aTc_8,0.92309622
b0891_4,aTc_0,1.01372233
b0891_4,aTc_2,0.920668706
b0891_4,aTc_4,0.928346693
b0891_4,aTc_6,0.921426619
b0891_4,aTc_8,0.785318536
b0948_1,aTc_0,1.11148609
b0948_1,aTc_2,1.066518147
b0948_1,aTc_4,0.989832415
b0948_1,aTc_6,1.002236648
b0948_1,aTc_8,1.027667389
b0948_2,aTc_0,0.884264724
b0948_2,aTc_2,1.021329401
b0948_2,aTc_4,0.993436638
b0948_2,aTc_6,1.020872984
b0948_2,aTc_8,1.016023115
b0948_3,aTc_0,1.045431081
b0948_3,aTc_2,1.023572021
b0948_3,aTc_4,1.000992425
b0948_3,aTc_6,0.957639391
b0948_3,aTc_8,0.985320816
b0948_4,aTc_0,0.987526069
b0948_4,aTc_2,0.995492575
b0948_4,aTc_4,0.99112212
b0948_4,aTc_6,0.979207582
b0948_4,aTc_8,0.966591129
b1000_1,aTc_0,1.027223731
b1000_1,aTc_2,1.061602652
b1000_1,aTc_4,1.018734904
b1000_1,aTc_6,0.997497196
b1000_1,aTc_8,0.998892207
b1000_2,aTc_0,1.090908272
b1000_2,aTc_2,1.030833458
b1000_2,aTc_4,1.04943685
b1000_2,aTc_6,1.019043572
b1000_2,aTc_8,0.991451394
b1000_3,aTc_0,1.012743177
b1000_3,aTc_2,1.053354412
