Genes,aTc,W
b1084_2,aTc_2,0.862866153
b1084_2,aTc_4,0.517810443
b1084_2,aTc_6,0.43933497
b1084_2,aTc_8,0.42439295
b1084_3,aTc_0,1.032788032
b1084_3,aTc_2,0.634165593
b1084_3,aTc_4,0.50257949
b1084_3,aTc_6,0.410203378
b1084_3,aTc_8,0.412619869
b1084_4,aTc_0,1.031609778
b1084_4,aTc_2,0.605332967
b1084_4,aTc_4,0.457596862
b1084_4,aTc_6,0.416319894
b1084_4,aTc_8,0.383296676
b1094_1,aTc_0,1.025033066
b1094_1,aTc_2,0.942307009
b1094_1,aTc_4,0.802123551
b1094_1,aTc_6,0.738729063
b1094_1,aTc_8,0.752216955
b1094_2,aTc_0,1.046750794
b1094_2,aTc_2,0.927062523
b1094_2,aTc_4,0.825081125
b1094_2,aTc_6,0.784314779
b1094_2,aTc_8,0.791255829
b1094_3,aTc_0,1.042339476
b1094_3,aTc_2,0.870042928
b1094_3,aTc_4,0.761812899
b1094_3,aTc_6,0.731142712
b1094_3,aTc_8,0.725795342
b1094_4,aTc_0,1.040498906
b1094_4,aTc_2,0.817705064
b1094_4,aTc_4,0.782242963
b1094_4,aTc_6,0.756667929
b1094_4,aTc_8,0.741536772
b1763_1,aTc_0,1.045792349
b1763_1,aTc_2,1.004254243
b1763_1,aTc_4,0.596563454
b1763_1,aTc_6,0.531442622
b1763_1,aTc_8,0.553309633
b1763_2,aTc_0,0.977459535
b1763_2,aTc_2,0.937574774
b1763_2,aTc_4,0.594115023
b1763_2,aTc_6,0.561517816
b1763_2,aTc_8,0.54590368
b1763_3,aTc_0,1.019651519
b1763_3,aTc_2,0.785775894
b1763_3,aTc_4,0.529661198
b1763_3,aTc_6,0.532035958
b1763_3,aTc_8,0.485104856
b1763_4,aTc_0,0.991314665
b1763_4,aTc_2,0.752269945
b1763_4,aTc_4,0.587935917
b1763_4,aTc_6,0.496948261
b1763_4,aTc_8,0.466727744
b1686_1,aTc_0,0.988166159
b1686_1,aTc_2,1.087727909
b1686_1,aTc_4,1.030104369
b1686_1,aTc_6,1.029506093
b1686_1,aTc_8,1.057391364
b1686_2,aTc_0,1.004448916
b1686_2,aTc_2,0.984330608
b1686_2,aTc_4,0.991335854
b1686_2,aTc_6,1.0120806
b1686_2,aTc_8,1.047183703
b1686_3,aTc_0,0.970799705
b1686_3,aTc_2,1.067048615
b1686_3,aTc_4,1.027892615
b1686_3,aTc_6,1.010649479
b1686_3,aTc_8,1.006686901
b1686_4,aTc_0,1.008564901
b1686_4,aTc_2,0.970542253
b1686_4,aTc_4,0.975513562
b1686_4,aTc_6,0.939873637
b1686_4,aTc_8,1.008227633
b1718_1,aTc_0,0.98815378
b1718_1,aTc_2,1.044487772
b1718_1,aTc_4,1.012167447
b1718_1,aTc_6,1.030942113
b1718_1,aTc_8,1.053260492
b1718_2,aTc_0,1.04570292
b1718_2,aTc_2,1.003239066
b1718_2,aTc_4,1.059885171
b1718_2,aTc_6,1.031318678
b1718_2,aTc_8,1.023341516
b1718_3,aTc_0,0.996227274
b1718_3,aTc_2,1.039094908
b1718_3,aTc_4,1.010838308
b1718_3,aTc_6,1.023725706
b1718_3,aTc_8,0.983354149
