Genes,aTc,W
b0891_4,aTc_8,0.993982491
b0948_1,aTc_0,1.067919661
b0948_1,aTc_2,1.068673793
b0948_1,aTc_4,1.038871783
b0948_1,aTc_6,0.762766268
b0948_1,aTc_8,0.946892224
b0948_2,aTc_0,1.276261759
b0948_2,aTc_2,0.753440552
b0948_2,aTc_4,0.801353686
b0948_2,aTc_6,0.918855719
b0948_2,aTc_8,1.112480232
b0948_3,aTc_0,1.201829402
b0948_3,aTc_2,1.227219462
b0948_3,aTc_4,1.119775339
b0948_3,aTc_6,0.922894283
b0948_3,aTc_8,0.875118256
b0948_4,aTc_0,1.241903038
b0948_4,aTc_2,0.941802593
b0948_4,aTc_4,0.87853567
b0948_4,aTc_6,1.013325104
b0948_4,aTc_8,1.134488051
b1000_1,aTc_0,1.228558452
b1000_1,aTc_2,0.941075798
b1000_1,aTc_4,1.025854514
b1000_1,aTc_6,0.617754032
b1000_1,aTc_8,1.058409623
b1000_2,aTc_0,1.305950094
b1000_2,aTc_2,0.905718814
b1000_2,aTc_4,1.132552908
b1000_2,aTc_6,0.700419708
b1000_2,aTc_8,0.958936349
b1000_3,aTc_0,1.448073757
b1000_3,aTc_2,0.997523642
b1000_3,aTc_4,1.143531494
b1000_3,aTc_6,0.692501366
b1000_3,aTc_8,1.205638903
b1000_4,aTc_0,1.303959803
b1000_4,aTc_2,0.846461111
b1000_4,aTc_4,1.003229409
b1000_4,aTc_6,1.002854438
b1000_4,aTc_8,1.103530417
b1084_1,aTc_0,1.321617994
b1084_1,aTc_2,0.987001107
b1084_1,aTc_4,0.568939161
b1084_1,aTc_6,0.455727229
b1084_1,aTc_8,0.549006763
b1084_2,aTc_0,1.166264924
b1084_2,aTc_2,0.796329271
b1084_2,aTc_4,0.897728508
b1084_2,aTc_6,0.579006254
b1084_2,aTc_8,0.561437077
b1084_3,aTc_0,1.126789226
b1084_3,aTc_2,0.862443429
b1084_3,aTc_4,0.724999404
b1084_3,aTc_6,0.550799511
b1084_3,aTc_8,0.565992514
b1084_4,aTc_0,0.932364605
b1084_4,aTc_2,1.157374219
b1084_4,aTc_4,0.721918283
b1084_4,aTc_6,0.703416383
b1084_4,aTc_8,0.70226877
b1094_1,aTc_0,0.864325745
b1094_1,aTc_2,0.759472656
b1094_1,aTc_4,0.656739164
b1094_1,aTc_6,0.527365201
b1094_1,aTc_8,0.698424931
b1094_2,aTc_0,1.27210594
b1094_2,aTc_2,0.790951758
b1094_2,aTc_4,0.898437079
b1094_2,aTc_6,0.880105273
b1094_2,aTc_8,0.85496791
b1094_3,aTc_0,1.338495735
b1094_3,aTc_2,0.947525877
b1094_3,aTc_4,0.923231426
b1094_3,aTc_6,0.727365625
b1094_3,aTc_8,0.664418905
b1094_4,aTc_0,1.339063018
b1094_4,aTc_2,0.867698498
b1094_4,aTc_4,1.022670676
b1094_4,aTc_6,0.8692806
b1094_4,aTc_8,0.967866908
b1763_1,aTc_0,0.9326765
b1763_1,aTc_2,1.052714244
b1763_1,aTc_4,0.614341546
b1763_1,aTc_6,0.616820256
b1763_1,aTc_8,0.58539115
b1763_2,aTc_0,0.969026807
b1763_2,aTc_2,0.772364279
b1763_2,aTc_4,1.166691089
b1763_2,aTc_6,0.575081544
b1763_2,aTc_8,0.682659994
b1763_3,aTc_0,0.846569759
b1763_3,aTc_2,0.921896176
b1763_3,aTc_4,0.846011855
b1763_3,aTc_6,0.650250684
b1763_3,aTc_8,0.597426489
b1763_4,aTc_0,1.396151413
b1763_4,aTc_2,2.662594434
b1763_4,aTc_4,1.183820588
b1763_4,aTc_6,0.872572088
b1763_4,aTc_8,0.722191509
b1686_1,aTc_0,1.187028252
b1686_1,aTc_2,1.103601662
b1686_1,aTc_4,0.767188772
b1686_1,aTc_6,0.728032804
b1686_1,aTc_8,0.84629032
b1686_2,aTc_0,0.798836765
b1686_2,aTc_2,0.809798756
b1686_2,aTc_4,1.082366617
b1686_2,aTc_6,0.983160727
b1686_2,aTc_8,0.88569055
b1686_3,aTc_0,1.012931592
b1686_3,aTc_2,0.890681898
b1686_3,aTc_4,0.807210909
b1686_3,aTc_6,0.732830941
b1686_3,aTc_8,0.628383865
b1686_4,aTc_0,0.930759654
b1686_4,aTc_2,0.882111511
b1686_4,aTc_4,0.813084461
b1686_4,aTc_6,1.16123055
b1686_4,aTc_8,1.088210339
b1718_1,aTc_0,1.089522228
b1718_1,aTc_2,1.116632668
b1718_1,aTc_4,0.84995592
b1718_1,aTc_6,0.933701134
b1718_1,aTc_8,0.998898273
b1718_2,aTc_0,0.932043244
b1718_2,aTc_2,0.83687293
b1718_2,aTc_4,1.042911006
b1718_2,aTc_6,0.748414481
b1718_2,aTc_8,1.132109397
b1718_3,aTc_0,0.707222356
b1718_3,aTc_2,0.941526939
b1718_3,aTc_4,1.031090406
b1718_3,aTc_6,1.010466973
b1718_3,aTc_8,0.772558511
b1718_4,aTc_0,1.138417283
b1718_4,aTc_2,0.725238981
b1718_4,aTc_4,0.817866217
b1718_4,aTc_6,0.879577036
b1718_4,aTc_8,0.851052658
b1290_1,aTc_0,1.164685115
b1290_1,aTc_2,1.282449977
b1290_1,aTc_4,0.812565442
