Genes,aTc,W
b2530_2,aTc_6,0.814819064
b2530_2,aTc_8,0.797826423
b2530_3,aTc_0,0.922338871
b2530_3,aTc_2,0.783789008
b2530_3,aTc_4,0.713677647
b2530_3,aTc_6,0.636554325
b2530_3,aTc_8,0.653428741
b2530_4,aTc_0,0.95882749
b2530_4,aTc_2,0.761061978
b2530_4,aTc_4,0.678887562
b2530_4,aTc_6,0.687994558
b2530_4,aTc_8,0.681064574
b2576_1,aTc_0,1.072132524
b2576_1,aTc_2,1.0105305
b2576_1,aTc_4,0.967951336
b2576_1,aTc_6,0.974353956
b2576_1,aTc_8,0.993826266
b2576_2,aTc_0,1.148476329
b2576_2,aTc_2,1.011711659
b2576_2,aTc_4,0.995058108
b2576_2,aTc_6,0.95240496
b2576_2,aTc_8,0.975423027
b2576_3,aTc_0,0.905899299
b2576_3,aTc_2,0.868854184
b2576_3,aTc_4,0.871423891
b2576_3,aTc_6,0.814755929
b2576_3,aTc_8,0.825765944
b2576_4,aTc_0,0.935527116
b2576_4,aTc_2,0.841933509
b2576_4,aTc_4,0.866077427
b2576_4,aTc_6,0.815175939
b2576_4,aTc_8,0.841107192
b2990_1,aTc_0,1.111819837
b2990_1,aTc_2,1.008982932
b2990_1,aTc_4,1.048873983
b2990_1,aTc_6,1.013774695
b2990_1,aTc_8,1.08600476
b2990_2,aTc_0,1.195401914
b2990_2,aTc_2,1.110783818
b2990_2,aTc_4,1.147938774
b2990_2,aTc_6,1.113379034
b2990_2,aTc_8,1.094535677
b2990_3,aTc_0,0.911438287
b2990_3,aTc_2,0.813645593
b2990_3,aTc_4,0.92081217
b2990_3,aTc_6,0.869662356
b2990_3,aTc_8,0.886626617
b2990_4,aTc_0,0.948423975
b2990_4,aTc_2,0.959484138
b2990_4,aTc_4,0.947414976
b2990_4,aTc_6,0.932691684
b2990_4,aTc_8,0.931345721
b3006_1,aTc_0,1.127577167
b3006_1,aTc_2,1.065015569
b3006_1,aTc_4,1.051865817
b3006_1,aTc_6,1.035035126
b3006_1,aTc_8,1.074492359
b3006_2,aTc_0,1.090622869
b3006_2,aTc_2,1.021381324
b3006_2,aTc_4,1.049730122
b3006_2,aTc_6,0.989381385
b3006_2,aTc_8,1.063169057
b3006_3,aTc_0,0.904699886
b3006_3,aTc_2,0.854771974
b3006_3,aTc_4,0.929773431
b3006_3,aTc_6,0.715894801
b3006_3,aTc_8,0.930388739
b3006_4,aTc_0,0.9220056
b3006_4,aTc_2,0.878209343
b3006_4,aTc_4,0.883873995
b3006_4,aTc_6,0.870111499
b3006_4,aTc_8,0.854555815
b3071_1,aTc_0,1.077222207
b3071_1,aTc_2,1.062374292
b3071_1,aTc_4,1.013824271
b3071_1,aTc_6,0.988768693
b3071_1,aTc_8,0.998345778
b3071_2,aTc_0,1.153861451
b3071_2,aTc_2,1.061977752
b3071_2,aTc_4,1.053648598
b3071_2,aTc_6,1.097393066
b3071_2,aTc_8,1.015282422
b3071_3,aTc_0,1.068992534
b3071_3,aTc_2,1.008950908
b3071_3,aTc_4,1.010112361
b3071_3,aTc_6,1.023141846
b3071_3,aTc_8,0.964086301
b3071_4,aTc_0,1.03708401
b3071_4,aTc_2,0.962940715
b3071_4,aTc_4,1.010458167
b3071_4,aTc_6,1.001199589
b3071_4,aTc_8,1.021480002
b3164_1,aTc_0,1.081997513
b3164_1,aTc_2,1.023447045
b3164_1,aTc_4,0.95504425
b3164_1,aTc_6,0.927790379
b3164_1,aTc_8,0.934211282
b3164_2,aTc_0,1.063131073
b3164_2,aTc_2,0.997016532
b3164_2,aTc_4,0.908082723
b3164_2,aTc_6,0.953565779
b3164_2,aTc_8,0.953970088
b3164_3,aTc_0,1.089354846
b3164_3,aTc_2,0.962935334
b3164_3,aTc_4,0.934578951
b3164_3,aTc_6,0.928622824
b3164_3,aTc_8,0.918830174
b3164_4,aTc_0,1.085806888
b3164_4,aTc_2,0.89155902
b3164_4,aTc_4,0.898974545
b3164_4,aTc_6,0.917008508
b3164_4,aTc_8,0.914181245
b3417_1,aTc_0,1.072081132
b3417_1,aTc_2,0.913817465
b3417_1,aTc_4,0.8235335
b3417_1,aTc_6,0.760084644
b3417_1,aTc_8,0.748675855
b3417_2,aTc_0,0.993302863
b3417_2,aTc_2,0.953228428
b3417_2,aTc_4,0.852102782
b3417_2,aTc_6,0.932441383
b3417_2,aTc_8,0.731891414
b3417_3,aTc_0,1.071285658
b3417_3,aTc_2,0.886289876
b3417_3,aTc_4,0.818238378
b3417_3,aTc_6,0.759552611
b3417_3,aTc_8,0.740212061
b3417_4,aTc_0,1.007054843
b3417_4,aTc_2,0.811001406
b3417_4,aTc_4,0.77361779
b3417_4,aTc_6,0.916061174
b3417_4,aTc_8,0.707920568
b3560_1,aTc_0,1.034232739
b3560_1,aTc_2,0.935613252
b3560_1,aTc_4,0.609985062
b3560_1,aTc_6,0.494578973
b3560_1,aTc_8,0.461014924
b3560_2,aTc_0,1.078679402
b3560_2,aTc_2,1.026953068
b3560_2,aTc_4,0.679778431
b3560_2,aTc_6,0.774927308
b3560_2,aTc_8,0.557214479
b3560_3,aTc_0,0.980281114
b3560_3,aTc_2,0.75940608
b3560_3,aTc_4,0.551101625
b3560_3,aTc_6,0.4599855
b3560_3,aTc_8,0.44546593
b3560_4,aTc_0,1.073962762
b3560_4,aTc_2,0.733790622
b3560_4,aTc_4,0.5261524
b3560_4,aTc_6,0.735555389
b3560_4,aTc_8,0.469905136
b3590_1,aTc_0,1.124609502
b3590_1,aTc_2,0.930858593
b3590_1,aTc_4,0.801752944
b3590_1,aTc_6,0.708876456
b3590_1,aTc_8,0.647529983
b3590_2,aTc_0,1.044561645
b3590_2,aTc_2,0.975384319
b3590_2,aTc_4,0.825330598
b3590_2,aTc_6,0.89527063
b3590_2,aTc_8,0.774740644
b3590_3,aTc_0,1.08503268
b3590_3,aTc_2,0.821113513
b3590_3,aTc_4,0.788992663
b3590_3,aTc_6,0.721012604
b3590_3,aTc_8,0.709608333
b3590_4,aTc_0,1.071184241
b3590_4,aTc_2,0.884185114
b3590_4,aTc_4,0.781135975
b3590_4,aTc_6,0.8662218
b3590_4,aTc_8,0.70943259
b3602_1,aTc_0,1.054223712
b3602_1,aTc_2,1.06767732
b3602_1,aTc_4,1.031920067
b3602_1,aTc_6,0.970972451
b3602_1,aTc_8,1.025102971
b3602_2,aTc_0,1.120693753
b3602_2,aTc_2,0.999097302
b3602_2,aTc_4,1.059222391
b3602_2,aTc_6,1.023617019
b3602_2,aTc_8,0.993507597
b3602_3,aTc_0,0.894599662
b3602_3,aTc_2,0.827835197
b3602_3,aTc_4,0.898371391
b3602_3,aTc_6,0.853141821
b3602_3,aTc_8,0.848548971
b3602_4,aTc_0,0.900158318
b3602_4,aTc_2,0.875333454
